Question,Expected_SQL,Generated_SQL,Batch_Loss
"translate English to SQL: table ( player, no., nationality, position, years_in_toronto, school/club_team ) | what clu was in toronto 1995-96",select school/club team from table where years in toronto = 1995-96,select player from table where years in toronto = 1995-96,0.013219292275607586
"translate English to SQL: table ( no, date, round, circuit, pole_position, fastest_lap, race_winner, report ) | where was assen held?",select round from table where circuit = assen,select circuit from table where race winner = assen,0.013219292275607586
"translate English to SQL: table ( no, date, round, circuit, pole_position, fastest_lap, race_winner, report ) | what was the number of race that kevin curtain won?",select count no from table where pole position = kevin curtain,select count no from table where race winner = kevin curtain,0.013219292275607586
"translate English to SQL: table ( pick, player, position, nationality, nhl_team, college/junior/club_team ) | how many different positions did sherbrooke faucons (qmjhl) provide in the draft?",select count position from table where college/junior/club team = sherbrooke faucons (qmjhl),select count position from table where player = sherbrooke faucons (qmjhl),0.013219292275607586
"translate English to SQL: table ( pick, player, position, nationality, nhl_team, college/junior/club_team ) | what are the nationalities of the player picked from thunder bay flyers (ushl)",select nationality from table where college/junior/club team = thunder bay flyers (ushl),select nationality from table where pick = thunder bay flyers (ushl),0.004889016039669514
"translate English to SQL: table ( pick, player, position, nationality, nhl_team, college/junior/club_team ) | what is the nationality of the player from vancouver canucks?",select nationality from table where nhl team = vancouver canucks,select nationality from table where college/junior/club team = vancouver canucks,0.004889016039669514
"translate English to SQL: table ( pick, player, position, nationality, nhl_team, college/junior/club_team ) | what's the pick number of the player from springfield olympics (nejhl)?",select pick from table where college/junior/club team = springfield olympics (nejhl),select count pick from table where college/junior/club team = springfield olympics (nejhl),0.004889016039669514
"translate English to SQL: table ( equivalent_nato_rank_code, rank_in_spanish, rank_in_english, commonwealth_equivalent, us_air_force_equivalent ) | what could a spanish coronel be addressed as in the commonwealth military?",select commonwealth equivalent from table where rank in spanish = coronel,select commonwealth equivalent from table where rank in spanish = spanish,0.009254728443920612
"translate English to SQL: table ( equivalent_nato_rank_code, rank_in_spanish, rank_in_english, commonwealth_equivalent, us_air_force_equivalent ) | give me a list of all spanish officer titles that could receive recognition as group captain in english",select rank in english from table where commonwealth equivalent = group captain,select count rank in spanish from table where commonwealth equivalent = group captain in english,0.009254728443920612
"translate English to SQL: table ( equivalent_nato_rank_code, rank_in_spanish, rank_in_english, commonwealth_equivalent, us_air_force_equivalent ) | if you're a major general in the us air force then what ranking will you receive in the commonwealth's air force?",select commonwealth equivalent from table where us air force equivalent = major general,select commonwealth equivalent from table where us air force = major general,0.009254728443920612
"translate English to SQL: table ( rank_each_wrestlers_total_number_of_days_as_champion_are_ranked_highest_to_lowest;_wrestlers_with_the_same_number_mean_that_they_are_tied_for_that_certain_rank., wrestler, #_of_reigns, combined_defenses, combined_days ) | how many combined days did go shiozaki have?",select combined days from table where wrestler = go shiozaki,select count combined days from table where wrestler = go shiozaki,0.01780160889029503
"translate English to SQL: table ( rank_each_wrestlers_total_number_of_days_as_champion_are_ranked_highest_to_lowest;_wrestlers_with_the_same_number_mean_that_they_are_tied_for_that_certain_rank., wrestler, #_of_reigns, combined_defenses, combined_days ) | what was go shiozaki's rank?",select min rank each wrestlers total number of days as champion are ranked highest to lowest; wrestlers with the same number mean that they are tied for that certain rank. from table where wrestler = go shiozaki,select rank rank from table where wrestler = go shiozaki,0.01780160889029503
"translate English to SQL: table ( member, electorate, province, mps_term, election_date ) | which province is grey and bell electorate in",select province from table where electorate = grey and bell,select province from table where electorate = grey and electorate = bell,0.01780160889029503
"translate English to SQL: table ( player, total_w–l, singles_w–l, doubles_w–l, ties_played, debut, years_played ) | what's the total w–l where player is boro jovanovi category:articles with hcards",select total w–l from table where player = boro jovanovi category:articles with hcards,select count total w–l from table where player = boro jovanovi category:articles with hcards,0.0024001712445169687
"translate English to SQL: table ( calls, frequency, branding, format, market/rank, timeslot, group_owner ) | what is the frequency at the market/rank of burlington - plattsburgh, vermont - new york /143?","select count frequency from table where market/rank = burlington - plattsburgh, vermont - new york /143","select frequency from table where market/rank = burlington - plattsburgh, vermont - new york /143",0.0024001712445169687
"translate English to SQL: table ( scheme, tariff_code, bts_retail_price_(regulated), approx_premium, prefixes ) | what is the regulated retail price for the tariff code ff0 prs?",select bts retail price (regulated) from table where tariff code = ff0 prs,select regulated from table where tariff code = ff0 prs,0.014731967821717262
"translate English to SQL: table ( scheme, tariff_code, bts_retail_price_(regulated), approx_premium, prefixes ) | what is the premium associated with tariff code g9?",select approx premium from table where tariff code = g9,select prefixes from table where tariff code = g9,0.014731967821717262
"translate English to SQL: table ( scheme, tariff_code, bts_retail_price_(regulated), approx_premium, prefixes ) | what prefixes are priced at pence per minute, fixed at all times with a premium of 3p/min?","select prefixes from table where scheme = pence per minute, fixed at all times and approx premium = 3p/min",select prefixes from table where bts retail price (regulated) = pence per minute and fixed at all times and premium (regulated) = 3p/min,0.014731967821717262
"translate English to SQL: table ( nominative, old_orthography, new_orthography, /e/_or_//_(ipa), tone_(latvian_notation:_//_-_level, //_-_broken), translation ) | what is the tone for gen.sing. plague?","select tone (latvian notation: // - level, // - broken) from table where translation = gen.sing. plague",select tone (latvian notation: // - level from table where old orthography = gen.sing. plague,0.014731967821717262
"translate English to SQL: table ( star_(pismis24-#), spectral_type, magnitude_(m_bol_), temperature_(k), radius_(r__), mass_(m__) ) | what is the smallest possible radius?",select min radius (r  ) from table,select min radius (r ) from table,0.005755986087024212
"translate English to SQL: table ( star_(pismis24-#), spectral_type, magnitude_(m_bol_), temperature_(k), radius_(r__), mass_(m__) ) | what are all the spectral types for star mismis24-# is 1sw?",select spectral type from table where star (pismis24-#) = 1sw,select spectral type from table where star (pismis24-# = 1sw,0.005755986087024212
"translate English to SQL: table ( star_(pismis24-#), spectral_type, magnitude_(m_bol_), temperature_(k), radius_(r__), mass_(m__) ) | if a radius is 10, what is the lowest possible mass?",select min mass (m  ) from table where radius (r  ) = 10,select min mass (m ) from table where radius (r ) = 10,0.005755986087024212
"translate English to SQL: table ( year, aircraft_kilometers, departures, flying_hours, passengers, seat_factor, employees, profit/loss ) | how many hours were flown in each of the years where more than 64379058.0 kilometers were flown?",select flying hours from table where aircraft kilometers > 64379058.0,select count flying hours from table where flight hours > 64379058.0,0.005755986087024212
